##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
1118	50-54	-0.12526711031999582
1118	55-59	-0.030023274243681897
1118	60-64	0.1351531134617403
1118	65-69	-0.15248707857286803
1118	70-74	-0.04635085140308348
1118	75-79	-0.043115728201797765
1118	80-84	-0.01359429650747046
1118	85-89	-0.05951173775640228
1118	90-94	0.054509625527323635
1118	95-99	0.006056832556197378
1118	100-104	0.022691559801359062
1118	105-109	-0.19061228293863053
1118	110-114	-0.21023855048997575
1118	115-119	-0.12390971661815797
1118	120-124	-0.1665045155541307
1118	125-129	-0.07800886375115823
1118	130-134	-0.012406174147159277
1118	135-139	-0.30411885616759093
1118	140-144	0.009073566555812818
1118	145-149	0.06835648393407467
1118	150-151	0.2266198344401218
1119	1	-0.12881599665044519
1119	2	-0.0873087697239896
1119	3	-0.130289960520642
1119	4	0.2848095792714176
1119	5	0.46657699454978996
1119	6	0.11237529306379201
1119	7	0.09541755818739261
1119	8	0.16323317214212807
1119	9	-0.032091949607256254
1119	10-14	-0.11059430187402342
1119	15-19	0.07783133873073211
1119	20-24	0.08893849618653604
1119	25-29	-0.03196954883655678
1119	30-34	-0.04656456649498608
1119	35-39	0.029950988685300217
1119	40-44	-0.010262150061457476
1119	45-49	-0.014507936508344699
1119	50-54	-0.015948334105488016
1119	55-59	-0.04940057829186628
1119	60-64	-0.15623061023507745
1119	65-69	0.09432848677206351
1119	70-74	-0.14430609175240505
1119	75-79	0.01279842927890229
1119	80-84	0.08741890233843463
1119	85-89	-0.02199314209956782
1119	90-94	0.044622448017022975
1119	95-99	-0.020473185648512526
1119	100-104	0.0818670984539196
1119	105-109	0.051953704944637025
1119	110-114	-0.014862979012143285
1119	115-119	-0.15256877292765836
1119	120-124	-0.0037162025557648803
1119	125-129	0.03600280802456979
1119	130-134	0.3418466752757041
1119	135-139	-0.1685468909646417
1119	140-144	0.07005460124937457
1119	145-149	0.04386035624089857
1119	150-151	0.3034039075676205
1120	1	-0.02444120477565548
1120	2	0.3062143737991505
1120	3	-0.08762429285497575
1120	4	0.21800138746322517
1120	5	0.21357999155278407
1120	6	-0.3981558424673395
1120	7	-0.10796239519255835
1120	8	0.23020786411682082
1120	9	0.22540055788525137
1120	10-14	-0.08158164786136979
